0	 
133	<nul>
1	l
2	t
3	e
4	i
5	n
6	s
7	x
8	g
9	u
10	o
11	1
12	8
13	7
14	0
15	p
16	a
17	r
18	d
19	c
20	V
21	v
22	b
23	m
24	C
25	z
26	S
27	y
28	k
29	A
30	h
31	E
32	D
33	H
34	M
35	G
36	P
37	R
38	f
39	2
40	j
41	N
42	6
43	5
44	T
45	O
46	U
47	3
48	9
49	q
50	Z
51	B
52	K
53	w
54	W
55	4
56	L
57	F
58	I
59	J
60	X
61	Y
62	Q
63	a
64	l
65	t
66	e
67	i
68	n
69	s
70	x
71	g
72	u
73	o
74	1
75	8
76	7
77	0
78	p
79	a
80	d
81	c
82	V
83	v
84	b
85	m
86	C
87	z
88	S
89	y
90	k
91	A
92	h
93	E
94	D
95	H
96	M
97	G
98	P
99	R
100	f
101	2
102	j
103	N
104	6
105	5
106	T
107	O
108	U
109	3
110	9
111	q
112	Z
113	B
114	K
115	w
116	W
117	4
118	L
119	F
120	I
121	J
122	X
123	Y
124	Q
125	a
126	w
127	W
128	4
129	L
130	F
131	I
132	J
